host_id,x,y,target_host
6,637.2425,535.0782,3
6,324.939,673.6891,3
6,155.9263,90.2131,1
1,71.8881,357.6921,1
1,544.0739,275.3788,4
1,735.1533,923.0242,7
1,745.1998,831.7203,7
1,352.4895,24.5409,1
1,84.9852,607.3869,5
1,864.1895,514.4215,4
1,704.0998,42.0396,6
1,775.9075,49.8828,6
1,346.1631,911.7179,5
1,290.6998,693.9084,3
1,22.2887,26.5672,1
1,306.2747,531.8312,3
1,139.4508,228.863,1
1,855.8354,598.8614,4
1,306.2306,179.6114,1
1,557.1804,307.5181,4
1,45.1254,48.8056,1
1,876.2582,960.3273,7
1,86.5609,433.2889,1
1,25.337,972.6882,5
1,361.3505,845.1154,5
1,341.823,995.4419,5
1,611.3872,252.4185,4
1,671.4515,639.5084,3
1,862.292,893.8478,7
2,98.3341,174.6589,1
2,447.7423,776.7096,3
2,685.5275,572.2533,4
2,306.9914,279.3754,1
2,88.1426,696.3656,5
2,253.2081,191.1772,1
2,130.8082,186.1194,1
2,956.4932,857.51,7
2,674.2297,797.2098,2
2,248.8404,842.3546,5
2,99.7013,139.9704,1
2,572.5734,465.6155,3
2,412.7252,848.1627,2
3,965.2927,888.3011,7
3,37.4445,956.8737,5
3,555.9101,314.035,4
3,555.9101,314.035,4
3,326.1718,211.7243,1
3,680.4088,107.2826,6
3,833.883,825.3233,7
3,16.124,929.1298,5
3,850.0107,579.2314,4
3,183.5521,167.8678,1
3,996.9725,880.8606,7
3,958.6163,975.9094,7
3,388.377,125.7895,1
3,806.4122,317.1755,4
3,323.2468,894.5502,5
3,840.3281,380.1921,4
3,977.6678,159.4324,6
3,71.6633,219.6367,1
3,339.4912,851.8631,5
3,723.1675,906.754,2
3,21.8947,373.4195,1
3,576.2878,356.3162,4
3,934.251,731.2356,7
3,489.0474,920.5604,2
3,769.1226,407.2762,4
3,881.054,562.5347,4
3,391.2885,493.2725,3
3,987.0382,30.9115,6
3,965.1469,372.16,6
3,177.6703,131.2184,1
3,623.7254,962.3832,2
3,284.1114,286.3016,1
3,658.0051,790.3962,2
3,623.2926,11.0458,6
3,539.4109,810.9423,2
3,284.7704,788.6346,5
3,681.4123,816.9813,2
3,636.1378,406.6945,4
4,303.8863,706.5871,3
4,684.0114,371.1052,4
4,25.969,130.4518,1
4,178.4663,685.9632,5
4,814.0467,250.4251,6
4,357.8492,874.7908,5
4,368.8236,637.2621,3
4,906.7554,514.8143,4
4,192.5079,877.2518,5
4,25.8812,667.5555,5
4,628.4361,936.1472,2
5,688.2206,566.1428,4
5,375.8303,429.7469,3
5,420.0309,345.0058,9
5,412.4169,870.7393,2
5,607.6174,989.4664,2
5,912.8006,387.2479,4
5,244.4721,128.8578,1
5,939.9893,162.1999,6
5,749.795,617.4357,4
5,960.955,298.0989,6
5,27.8102,875.2488,5
5,571.1419,947.5085,2
5,983.2648,346.8783,6
5,765.6585,105.5169,6
5,88.1996,474.0096,8
5,473.5336,906.6844,2
5,359.1208,130.0575,1
5,396.9469,294.7598,9
5,606.6489,528.4616,3
5,793.8686,895.9117,7
5,302.6364,111.0011,1
5,550.5723,777.2307,2
5,436.1681,543.4177,3
5,27.6712,306.4429,1
5,986.2401,225.9286,6
5,958.963,441.3639,4
5,938.6728,546.5973,4
5,578.701,267.5985,4
5,213.595,617.0067,3
5,62.0155,79.6377,1
5,145.8757,990.7385,5
5,406.237,391.1357,3
5,154.9443,209.7392,1
1,906.3304,563.6466,4
1,291.0002,351.7327,9
1,350.0659,77.8083,1
1,308.376,607.7942,3
1,598.8902,469.2602,4
7,274.3071,697.8254,3
7,173.8642,125.8872,1
7,500.1451,894.4058,2
7,641.6657,730.5783,2
7,211.6891,597.5921,3
8,929.3798,288.8676,6
8,558.4378,312.4189,4
8,4.6026,826.7225,5
6,303.0021,855.6302,5
6,472.5734,973.9867,2
6,852.1689,421.9855,4
1,603.2975,201.8325,4
1,393.1656,559.7265,3
1,878.1823,518.9476,4
1,142.5288,442.5649,8
1,237.8798,823.666,5
1,403.3879,211.9406,1
1,105.0904,712.279,5
1,816.4327,210.6787,6
1,702.1167,349.5339,4
1,746.598,471.5406,4
1,322.6949,353.2886,9
1,625.3922,745.3125,2
1,657.1774,174.6117,6
1,631.0477,90.9317,6
1,741.4364,637.7064,4
1,224.7195,352.4531,1
1,366.1871,479.7326,3
1,548.5526,650.0649,3
1,785.3063,702.7393,7
1,104.6101,470.9043,8
2,290.516,358.388,9
2,799.7635,35.4652,6
2,511.3299,894.7833,2
2,474.6261,309.5022,9
2,876.5963,575.2393,4
2,196.7014,757.8239,5
2,275.558,549.0906,3
2,953.4606,415.4601,4
2,808.9696,515.4586,4
3,464.0081,172.9828,9
3,5.0376,858.498,5
3,661.2999,355.2711,4
3,158.7122,757.5822,5
3,831.1928,927.2026,7
3,903.7394,885.8264,7
3,540.4958,797.8781,2
3,840.0206,997.7458,7
3,512.6899,683.5837,3
3,836.4166,686.8869,7
3,747.2868,450.838,4
3,342.1376,340.7121,9
3,589.545,975.645,2
3,164.8365,546.546,3
3,586.6343,533.2971,3
3,362.1795,48.7769,1
3,975.6338,579.6404,4
3,444.8196,663.3855,3
3,127.3022,674.901,5
3,750.0444,456.967,4
3,396.2675,669.1746,3
3,165.1756,185.7552,1
3,503.3844,336.0574,3
3,372.7167,687.6624,3
3,580.2353,719.9516,3
3,774.959,971.8902,7
3,532.9379,106.1581,9
3,709.3834,671.5168,3
3,732.4054,3.9855,6
3,596.5821,515.6303,3
3,174.0851,209.3498,1
3,658.9009,732.6925,2
3,591.7257,869.4931,2
3,77.9129,85.9133,1
3,397.5502,607.1848,3
4,344.2118,660.1142,3
4,63.0459,501.9757,8
4,641.2598,789.606,2
4,115.0727,572.9613,5
4,421.8127,281.236,9
4,661.5027,198.2273,6
4,965.3877,427.1891,4
4,534.3363,60.4871,1
4,23.791,465.6736,1
4,771.6581,119.9126,6
4,592.8187,0.6368,6
4,573.8675,123.0528,6
4,194.3605,602.0198,3
4,667.1854,540.1701,4
4,131.3934,78.754,1
4,387.9526,189.62,1
4,139.0395,255.0332,1
4,108.61,131.5238,1
4,384.5039,416.2759,3
4,212.363,112.1195,1
4,809.6548,648.0411,4
4,883.2276,531.3623,4
4,149.1517,777.7372,5
4,146.5711,371.5883,1
4,811.2503,397.3785,4
4,230.2136,789.6918,5
4,832.3507,473.3552,4
4,832.3507,473.3552,4
4,429.9714,228.8632,9
4,171.3348,56.1754,1
4,289.2842,636.2393,3
4,888.0952,604.5034,4
4,180.382,594.037,3
4,36.4059,925.0447,5
4,83.2482,626.1407,5
5,685.5632,491.3669,4
5,902.3774,111.5832,6
5,710.4711,460.4688,4
5,637.4974,867.3562,2
5,295.1667,670.8975,3
5,940.2394,956.0751,7
5,555.9728,504.1474,3
5,964.2626,295.3324,6
5,148.0418,952.1138,5
5,366.9031,534.4709,3
5,880.0454,755.2312,7
5,365.2594,714.2913,3
5,734.6677,529.7571,4
5,583.1502,521.3312,3
5,200.7998,813.688,5
5,886.0026,74.8774,6
5,549.0365,939.016,2
5,236.352,934.6672,5
5,981.433,554.9423,4
5,114.7889,78.2924,1
5,204.3823,705.6601,5
5,775.8601,673.8166,4
5,151.661,899.388,5
5,462.302,920.632,2
5,877.2514,488.5317,4
5,125.0345,303.8648,1
5,386.9802,947.4908,5
5,261.5343,437.6656,3
5,941.5645,724.4557,7
5,50.257,787.0346,5
5,50.257,787.0346,5
5,467.23,916.2745,2
5,442.7967,169.2856,1
1,923.3876,157.0058,6
1,635.6604,123.6243,6
1,407.1212,950.8761,2
1,600.4994,148.8064,6
1,761.1094,160.4631,6
1,831.4184,392.5065,4
1,282.0755,231.8083,1
1,212.7008,317.7721,1
1,880.6261,493.3228,4
1,885.5547,916.795,7
1,357.0575,626.2324,3
8,808.4865,390.3583,4
7,498.3403,190.2718,9
6,235.7338,959.6825,5
6,0.3782,907.9433,5
6,326.8512,367.0178,9
6,509.6119,393.2337,3
6,699.0389,190.3143,6
6,699.0389,190.3143,6
6,160.1456,227.5156,1
6,174.224,877.2679,5
1,59.1425,740.8,5
1,382.9996,426.4727,3
1,433.1122,486.1077,3
1,597.5454,356.7054,4
1,837.4903,472.3206,4
1,102.2373,967.9059,5
1,284.2288,687.3856,3
1,538.6059,542.5625,3
1,254.9838,631.246,3
1,755.5434,171.1028,6
1,286.8452,509.1003,3
1,50.3886,468.89,1
1,434.5764,610.6939,3
1,431.1354,222.869,9
1,956.0504,153.0032,6
1,619.4326,136.2419,6
1,224.1885,821.4688,5
1,933.5556,42.7807,6
1,401.3606,754.1739,3
1,963.2943,718.4001,7
1,850.1917,800.3324,7
1,519.7242,942.7259,2
1,391.7266,610.8808,3
1,35.0233,360.0183,1
1,693.2989,842.5098,2
1,997.7879,313.8503,6
1,639.1323,33.8296,6
1,744.0344,162.2937,6
2,232.3354,623.637,3
2,401.4366,560.2451,3
2,401.4366,560.2451,3
2,220.7191,752.4611,5
3,871.067,986.6494,7
3,590.8141,392.1814,4
3,132.5322,206.0966,1
3,439.4509,839.9792,2
3,139.579,95.1949,1
3,42.6907,141.9295,1
3,673.6356,282.7188,4
3,91.3957,63.6762,1
3,116.5552,635.8442,5
3,191.7988,449.0936,8
3,761.576,888.6467,7
3,224.7338,710.383,5
3,41.943,180.0589,1
3,821.331,361.0803,4
3,404.9969,745.941,3
3,867.629,371.9965,4
3,645.2047,943.6486,2
3,80.4181,586.562,5
3,70.8829,179.1623,1
3,86.6087,294.5506,1
3,513.6569,54.0021,1
3,754.6136,62.2295,6
3,624.3697,352.0469,4
3,318.6494,606.935,3
3,336.8807,63.6993,1
3,663.8683,991.4506,2
3,289.3242,871.1047,5
3,420.8675,433.096,3
3,637.3292,275.7641,4
3,910.4465,245.0025,6
3,93.5636,709.5039,5
3,980.6706,332.2614,6
3,442.2754,435.4999,3
3,508.4239,60.1252,1
3,95.5418,895.9129,5
3,558.9193,651.7474,3
3,946.8173,362.4357,6
3,181.1415,683.1892,5
3,309.4741,328.2509,9
3,836.4814,126.2388,6
3,893.8085,217.5216,6
3,502.5909,771.7657,3
3,532.0794,239.966,4
3,337.9245,707.2428,3
3,691.5703,764.8402,2
3,965.6478,193.2948,6
3,207.2442,883.0874,5
4,365.9725,601.8549,3
4,928.3674,631.4561,7
4,413.3508,773.1555,3
4,398.1335,846.9282,2
4,655.4936,133.9456,6
4,736.4835,957.6258,7
4,761.4,460.9529,4
4,761.4,460.9529,4
4,137.0537,220.0965,1
4,590.7128,313.0337,4
4,42.461,409.0608,1
4,962.1901,525.7808,4
4,998.0741,497.0561,4
4,690.1708,136.1158,6
4,720.1123,204.0888,6
4,880.2622,367.5267,4
4,302.1976,522.7578,3
4,765.2185,677.477,4
5,94.7855,116.0152,1
5,930.6746,635.6043,7
5,747.4623,216.2514,6
5,518.1807,837.552,2
5,161.9603,802.6677,5
5,23.6974,463.0432,1
5,751.8003,815.9234,7
5,128.1299,351.8753,1
5,150.5026,639.5778,5
5,630.1172,153.1548,6
5,529.0126,783.3412,3
5,228.658,488.8749,3
5,966.4217,943.8999,7
5,813.2913,946.6564,7
5,298.295,51.6817,1
5,264.2108,335.518,9
5,855.6895,643.6385,4
5,341.4732,624.1166,3
5,533.5053,445.5208,3
5,596.2286,504.6672,3
5,894.9914,633.9304,4
5,75.7224,530.5046,8
5,652.6092,702.6173,3
5,440.6187,381.0335,3
5,478.766,656.1427,3
5,663.7543,205.4745,6
5,473.4188,432.6649,3
5,941.8911,582.4764,4
5,528.3364,148.8094,9
5,21.6136,355.8978,1
5,99.5779,884.0021,5
5,529.6633,688.4332,3
5,401.4136,53.3794,1
5,16.8545,317.1235,1
5,230.143,848.9728,5
5,460.864,322.4421,9
5,994.391,368.8567,6
5,948.1121,39.4723,6
5,47.0378,606.559,5
5,97.2836,622.6666,5
5,635.2944,160.0378,6
5,86.8092,80.9737,1
5,310.9449,83.6737,1
5,743.9399,569.3473,4
5,700.0714,193.6119,6
5,517.7614,674.0052,3
5,489.7183,688.7955,3
5,311.2278,37.6272,1
1,578.1862,325.5245,4
1,309.3684,957.1028,5
1,424.6091,849.6579,2
1,776.8344,21.1224,6
8,359.6072,581.6103,3
8,396.4116,660.4983,3
6,294.7627,800.8787,5
6,895.4292,241.6478,6
6,670.2976,324.3734,4
9,478.6762,671.2126,3
9,930.0747,945.8234,7
